,AvF0.5,AvF1,AvF1.5,CBA,mGM,CEN,AvACC,Recall_0,Recall_1,Recall_2,Recall_3,Recall_4,Recall_5,Recall_6,Recall_7,Recall_8,Recall_9,Recall_10,Recall_11,Recall_12,Precision_0,Precision_1,Precision_2,Precision_3,Precision_4,Precision_5,Precision_6,Precision_7,Precision_8,Precision_9,Precision_10,Precision_11,Precision_12
0,0.914962690237535,0.900130071153099,0.8911494539730559,0.8764899776406504,0.8659899156322904,0.01472232055061288,0.9987789437840242,0.9980483231872901,0.9842751429532459,0.9541421143847487,0.9213980238902817,0.6083916083916084,0.9562520840280093,0.9906727933612235,0.8358490566037736,0.6179577464788732,0.8659525188187609,0.7375328083989501,0.9483870967741935,0.989247311827957,0.9954567347606895,0.9731298116093846,0.9740278121793284,0.9839370078740157,0.7145790554414785,0.9797968294460642,0.9975828729281768,0.9077868852459017,0.7532188841201717,0.9390894819466248,0.8192419825072886,0.9932432432432432,1.0
1,0.9129779873396203,0.8964814252169341,0.8867392463683709,0.8712736341341827,0.857064560433307,0.01490580521589415,0.998758920393763,0.9979999149904837,0.9836024217961655,0.952894280762565,0.920513198643268,0.5297202797202797,0.9571190396798933,0.9925931006103834,0.8547169811320755,0.6100352112676056,0.8592935726693689,0.7244094488188977,0.967741935483871,0.989247311827957,0.9954037634262983,0.9728691197019096,0.9725474935437082,0.983921815889029,0.7046511627906977,0.9786121781030525,0.996900399504064,0.9133064516129032,0.7532608695652174,0.9398353388220393,0.8376327769347496,0.9868421052631579,0.989247311827957
2,0.9152340728244545,0.8987653460720341,0.8889526556474554,0.8732017506777725,0.8608458723953185,0.014830806191813525,0.9987663059750276,0.998055407313652,0.9841574167507569,0.9533102253032929,0.9218404365137886,0.5559440559440559,0.9561409358675114,0.9901241341471778,0.8415094339622642,0.6258802816901409,0.8587145338737695,0.7296587926509186,0.9612903225806452,0.989247311827957,0.9954016735317738,0.9725606209177483,0.9733852415501681,0.9833254679880447,0.7194570135746606,0.9795936959096292,0.9979952993225494,0.9176954732510288,0.7539766702014846,0.9353516240933459,0.8411497730711044,0.9933333333333333,0.989247311827957
3,0.9162363005816582,0.8964590367574009,0.885035825975393,0.8673125091274058,0.8529325300442558,0.01475966918429024,0.9987716732179017,0.9980778403804648,0.98447695930037,0.9535528596187175,0.9213980238902817,0.5262237762237763,0.9573635656329887,0.9917701117893148,0.8452830188679246,0.6012323943661971,0.8471337579617835,0.7270341207349081,0.967741935483871,0.967741935483871,0.9954357686890906,0.9731513499135523,0.9736329853123341,0.9822354975632762,0.7797927461139896,0.9782396365701306,0.9962110774317994,0.9068825910931174,0.7505494505494505,0.9390243902439024,0.8483920367534457,0.9803921568627451,1.0
4,0.9160094730016854,0.8989863492371335,0.8888378651895792,0.8726435805862149,0.8601940499133875,0.014707945821538091,0.9987768357304947,0.9980223480572964,0.9844433232425159,0.9557712305025996,0.920513198643268,0.5734265734265734,0.9559630988107147,0.9925931006103834,0.869811320754717,0.5977112676056338,0.8590040532715691,0.7257217847769029,0.967741935483871,0.956989247311828,0.9954026940872098,0.9737170423355236,0.9736925738903209,0.9865655128813023,0.7177242888402626,0.9784532775135947,0.9981379310344828,0.922,0.7612107623318386,0.9383301707779886,0.8290854572713643,0.9933774834437086,1.0
5,0.9160598775235551,0.8989863484167604,0.8889402770418263,0.8731420284389103,0.8599710924739528,0.01482126920501015,0.9987657192615134,0.9981368747668141,0.9834342415068954,0.9520623916811092,0.921545494764784,0.5751748251748252,0.9563187729243081,0.991290034977025,0.8830188679245283,0.5836267605633803,0.8610306890561668,0.7178477690288714,0.9612903225806452,0.978494623655914,0.9952766547601949,0.973869162614083,0.9738344265201205,0.9881404174573055,0.7183406113537117,0.9787059787059788,0.9954545454545455,0.9052224371373307,0.7727272727272727,0.9417352754908169,0.8520249221183801,0.9867549668874173,0.9891304347826086
6,0.9118191131323743,0.8956410152853139,0.8860790095527007,0.8708692888679495,0.8563919253190118,0.01463825937169817,0.9987804884899946,0.9980424197486552,0.984561049445005,0.9547660311958406,0.9197758442707565,0.5332167832167832,0.9568745137267978,0.9930045950209176,0.8509433962264151,0.5977112676056338,0.8642154024319629,0.7244094488188977,0.967741935483871,0.989247311827957,0.9954473298695671,0.9739468955879417,0.973115240585035,0.9873357606458762,0.7176470588235294,0.979118804449196,0.9986205945237603,0.9129554655870445,0.7388465723612623,0.9348575007829627,0.808199121522694,0.9868421052631579,1.0
7,0.9103585060566094,0.8927918098481776,0.8826080207747437,0.8665797060285639,0.8495815469360504,0.014930646511281181,0.9987542446396396,0.9980152639309345,0.9843087790110999,0.9518890814558059,0.9199233151452588,0.48426573426573427,0.957674780482383,0.9903298813524449,0.8584905660377359,0.5915492957746479,0.8587145338737695,0.7283464566929134,0.967741935483871,0.989247311827957,0.9954284503011782,0.9719348356776326,0.9735881164250009,0.9856217411913415,0.6907730673316709,0.97837985147503,0.9959994481997517,0.900990099009901,0.7671232876712328,0.9327044025157233,0.8320839580209896,0.9803921568627451,1.0
8,0.914983633290059,0.8973254370542408,0.8868587667537093,0.8702536756813574,0.8567989709414369,0.014812091597462091,0.9987663486862194,0.9980471424995632,0.9846283215607131,0.9539341421143848,0.9208081403922725,0.5506993006993007,0.9560075580749139,0.9914271997805363,0.8471698113207548,0.6091549295774648,0.855819339895773,0.7086614173228346,0.9612903225806452,0.989247311827957,0.9953078730005475,0.9737704372702626,0.9720269840709215,0.9867256637168141,0.7046979865771812,0.9795909070201814,0.9975847077496377,0.9144602851323829,0.7706013363028953,0.9399046104928458,0.8333333333333334,0.9933333333333333,1.0
9,0.9143839840135002,0.897075202610393,0.8868746569790955,0.8706743046313826,0.8565038318964158,0.014811285527980235,0.9987670679697709,0.9980176253063885,0.984527413387151,0.9527556325823223,0.9219879073882908,0.5332167832167832,0.9566077581416027,0.9919072765928263,0.8547169811320755,0.5977112676056338,0.8645049218297626,0.7309711286089239,0.967741935483871,0.978494623655914,0.9954659741972713,0.9726837697726971,0.9730600396488247,0.9831734549457462,0.6995412844036697,0.9786455016828891,0.9964174991388219,0.9133064516129032,0.7646396396396397,0.9337085678549093,0.8582434514637904,0.9933774834437086,0.9891304347826086
