,AvF0.5,AvF1,AvF1.5,CBA,mGM,CEN,AvACC,Recall_0,Recall_1,Recall_2,Recall_3,Recall_4,Precision_0,Precision_1,Precision_2,Precision_3,Precision_4
ARFre,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CALMID,0.004354167,0.004987269,0.005244376,0.006596568,0.005787398,0.004792852,0.002371448,0.008345031,0.005365652,0.027136341,0.011518537,0.007856573,0.012817362,0.009418209,0.015400851,0.010989146,0.010553973
RAL,0.010045463,0.010306698,0.010350621,0.015564191,0.011314304,0.010139732,0.005535343,0.019289744,0.042109199,0.0194408,0.027932903,0.032985844,0.027378801,0.018670001,0.021540898,0.020970082,0.017351184
MicFoal,0.002350671,0.002513508,0.002589278,0.00494086,0.002609454,0.003804993,0.001195039,0.003315713,0.005801967,0.004005231,0.006411276,0.002981479,0.008862131,0.004703292,0.003819382,0.003676795,0.005285517
