,AvF0.5,AvF1,AvF1.5,CBA,mGM,CEN,AvACC,Recall_0,Recall_1,Recall_2,Recall_3,Recall_4,Precision_0,Precision_1,Precision_2,Precision_3,Precision_4
ARFre,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CALMID,0.002898208,0.003001695,0.003042479,0.005646046,0.003113519,0.004822429,0.001281585,0.003719641,0.007604303,0.005623237,2.22E-16,0.014283968,0.004598395,0.004171585,0,0.012791656,0.006148303
RAL,0.00962385,0.010864788,0.011205334,0.012563161,0.011090219,0.009009055,0.006004109,0.029335196,0.028616378,0.018556534,0,0.031032813,0.016073375,0.023105566,0,0.022165208,0.020192061
MicFoal,0.000383463,0.000391716,0.000396985,0.000656214,0.000405716,0.001080744,0.00015899,0.000629578,0.001126798,0.000898399,2.22E-16,0.000990841,0.000837187,0.000709553,0,0.000954445,0.000969081
