,AvF0.5,AvF1,AvF1.5,CBA,mGM,CEN,AvACC,Recall_0,Recall_1,Recall_2,Recall_3,Recall_4,Recall_5,Recall_6,Recall_7,Recall_8,Recall_9,Recall_10,Recall_11,Recall_12,Precision_0,Precision_1,Precision_2,Precision_3,Precision_4,Precision_5,Precision_6,Precision_7,Precision_8,Precision_9,Precision_10,Precision_11,Precision_12
ARFre,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CALMID,0.022409766,0.022873762,0.023614717,0.02311472,0.190221281,0.000706206,9.26E-05,0.000191431,0.002199811,0.006186494,0.005893025,0.058837178,0.005306747,0.001513497,0.064666078,0.058190615,0.019698811,0.03077141,0.23220788,0.115114043,0.000378696,0.002045596,0.004489486,0.015255776,0.062260833,0.005172477,0.003562004,0.111937558,0.044950714,0.024572514,0.046763645,0.327600145,0
RAL,0.020132611,0.020589504,0.02080025,0.023895931,0.035856521,0.000610482,7.45E-05,0.000550525,0.00394369,0.008497932,0.028322598,0.059468576,0.003879578,0.005845301,0.045245267,0.049222153,0.031912879,0.05310406,0.264613672,0.094231838,0.000355985,0.004208055,0.010937098,0.035301938,0.049934013,0.007924333,0.004730806,0.118879317,0.10946131,0.02740974,0.086623097,0.018068335,0.077316045
MicFoal,0.001870631,0.002008376,0.002276877,0.002749059,0.004277152,8.48E-05,8.04E-06,3.72E-05,0.000387618,0.001139433,0.00073868,0.032249914,0.000569222,0.000940079,0.013154882,0.011947534,0.005091345,0.007395802,0.005913001,0.010806318,5.96E-05,0.000630683,0.000587227,0.001926449,0.02292003,0.000538547,0.000993621,0.005924526,0.009966927,0.002892454,0.014346629,0.005059472,0.005296478
