,AvF0.5,AvF1,AvF1.5,CBA,mGM,CEN,AvACC,Recall_0,Recall_1,Recall_2,Recall_3,Recall_4,Recall_5,Recall_6,Recall_7,Recall_8,Recall_9,Recall_10,Precision_0,Precision_1,Precision_2,Precision_3,Precision_4,Precision_5,Precision_6,Precision_7,Precision_8,Precision_9,Precision_10
ARFre,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CALMID,0.001824136,0.00203731,0.002192094,0.003325413,0.002495683,0.000911734,0.00010517,0.008800593,0.006572811,0.003700063,0.007417698,0.000165952,0.011150744,0.000578035,0.007147639,0.003746285,0.00268021,0.002923668,0.014251287,0.001592808,0.00281508,0.001890571,0.00050597,0.003595664,0.002595024,0.003686168,0.001474917,0.001007804,0.000783608
RAL,0.004672971,0.005974867,0.006792822,0.009279276,0.008661059,0.000310595,4.93E-05,0.025454455,0.033533321,0.0100323,0.004111608,0.000176346,0.021237084,0.00020227,0.019125185,0.012378313,0.022143834,0.046485222,0.0090342,0.019477574,0.008982492,0.003168278,0.00024952,0.016370513,0.00831649,0.014393851,0.005330612,0.006106708,0.015602343
MicFoal,0.002454612,0.002651232,0.00285666,0.003169496,0.00336561,0.000440865,4.25E-05,0.021141385,0.017915156,0.004296487,0.003353532,0.000123225,0.002351708,0.000165153,0.004213409,0.006188566,0.005539896,0.014478821,0.013073454,0.007962988,0.002884913,0.00227868,0.000185351,0.002509994,0.00983263,0.005790317,0.001669747,0.00252211,0.015728493
