,AvF0.5,AvF1,AvF1.5,CBA,mGM,CEN,AvACC,Recall_0,Recall_1,Recall_2,Recall_3,Recall_4,Recall_5,Recall_6,Recall_7,Recall_8,Precision_0,Precision_1,Precision_2,Precision_3,Precision_4,Precision_5,Precision_6,Precision_7,Precision_8
ARFre,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CALMID,0.051428781,0.05158687,0.051913805,0.049798613,0.085644798,0.003899267,0.001389875,0.003273672,0.060423451,0.088760195,0.048017834,0.173648738,0.123119171,0.011975345,0.079754777,0.322071382,0.007732452,0.015763003,0.036666667,0.053870975,0.134994999,0.181099865,0.004784155,0.008446442,0.008949891
RAL,0.016445997,0.019297268,0.021416351,0.021516017,0.036467706,0.003302688,0.000454138,0.000685639,0.009161617,0.125709451,0.143379274,0.109332467,0.057967869,0.015561215,0.047706961,0.095330877,0.002334072,0.00446768,0.154933158,0.034351297,0.069835375,0.047033546,0.006978419,0.032563906,0.104406522
MicFoal,0.008907841,0.01384736,0.015613465,0.017640681,0.02463046,0.001947902,0.000282614,0.000391919,0.005448847,0.090013462,0.053209316,0.013859695,0.02164411,0.001564064,0.035190721,0.03186669,0.001309695,0.003505349,0.014464994,0.012188968,0.007823458,0.024267415,0.000664386,0.009118448,0.012309797
