,AvF0.5,AvF1,AvF1.5,CBA,mGM,CEN,AvACC,Recall_0,Recall_1,Recall_2,Recall_3,Recall_4,Precision_0,Precision_1,Precision_2,Precision_3,Precision_4
ARFre,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CALMID,0.008149606,0.007653181,0.007546663,0.006070787,0.007398112,0.009262081,0.004345864,0.016221007,0.013450495,0.010343747,0.008242379,0.01869637,0.009850845,0.030551185,0.006525654,0.011714996,0.014355311
RAL,0.01393468,0.01376598,0.013780232,0.012570586,0.013353461,0.016672341,0.008115481,0.024738013,0.014619783,0.029083628,0.020032922,0.02486829,0.027536347,0.031266817,0.02604605,0.021234651,0.017999081
MicFoal,0.002520416,0.002744212,0.00283552,0.004534516,0.00301617,0.003334559,0.001294154,0.006041738,0.012806299,0.006367191,0.00350159,0.007335671,0.008299952,0.006189534,0.006437772,0.006487743,0.006626266
