,AvF0.5,AvF1,AvF1.5,CBA,mGM,CEN,AvACC,Recall_0,Recall_1,Recall_2,Recall_3,Recall_4,Precision_0,Precision_1,Precision_2,Precision_3,Precision_4
ARFre,0.910806992,0.910019156,0.909613817,0.898194187,0.908449251,0.183911377,0.961937211,0.857161716,0.87885561,0.93774261,0.925851198,0.946015424,0.84423352,0.930577469,0.952243784,0.925851198,0.904287996
CALMID,0.826562999,0.818225865,0.814792793,0.771526584,0.810817232,0.2983163,0.91799241,0.823128713,0.807122634,0.724738728,0.827011349,0.880745501,0.631520716,0.888336854,0.898153831,0.885171878,0.867519808
RAL,0.731355229,0.730821655,0.73085172,0.710288387,0.727673077,0.421429855,0.872195498,0.672475248,0.657964536,0.857972529,0.736796974,0.732249357,0.634828775,0.699361472,0.809755462,0.749893892,0.766736675
MicFoal ,0.890648629,0.890032807,0.889725865,0.878695079,0.888553716,0.214289423,0.952842526,0.830811881,0.866323946,0.929516274,0.89110971,0.929113111,0.803042201,0.915540905,0.923689,0.90354886,0.909946505
