,AvF0.5,AvF1,AvF1.5,CBA,mGM,CEN,AvACC,Recall_0,Recall_1,Recall_2,Recall_3,Recall_4,Recall_5,Recall_6,Recall_7,Recall_8,Precision_0,Precision_1,Precision_2,Precision_3,Precision_4,Precision_5,Precision_6,Precision_7,Precision_8
ARFre,0.870907224,0.834376288,0.816540204,0.792427495,0.766945858,0.040494165,0.994776004,0.99066794,0.928701456,0.395061728,0.6692607,0.659192825,0.775641026,0.986463621,0.922297297,0.811320755,0.983908046,0.945336628,0.96969697,0.690763052,0.837606838,0.823129252,0.997149373,0.954545455,0.955555556
CALMID,0.748738692,0.655363739,0.617434856,0.563149258,0.479036606,0.077464822,0.983147135,0.992934823,0.49996966,0.248148148,0.353696498,0.481838565,0.326762821,0.971968415,0.796283784,0.493396226,0.925963447,0.932957498,0.978888889,0.852681855,0.678379417,0.691603559,0.990457599,0.987607392,0.994856567
RAL,0.845660003,0.786921042,0.759488136,0.721048114,0.674429152,0.028414013,0.996245476,0.997843339,0.975091019,0.337891738,0.452529183,0.586995516,0.682211538,0.970501974,0.801351351,0.719339623,0.987573156,0.975504538,0.820881536,0.883300065,0.883684525,0.790384783,0.986736842,0.957734321,0.877494076
MicFoal ,0.91705548,0.861754335,0.833574712,0.794894632,0.771088731,0.025800415,0.996843067,0.997413476,0.968173544,0.434567901,0.684824903,0.696636771,0.703044872,0.987535251,0.916047297,0.775471698,0.987808461,0.975132809,0.986361518,0.905226211,0.968569318,0.903047393,0.999315913,0.989548489,0.991712147
