,AvF0.5,AvF1,AvF1.5,CBA,mGM,CEN,AvACC,Recall_0,Recall_1,Recall_2,Recall_3,Recall_4,Recall_5,Recall_6,Recall_7,Recall_8,Recall_9,Recall_10,Precision_0,Precision_1,Precision_2,Precision_3,Precision_4,Precision_5,Precision_6,Precision_7,Precision_8,Precision_9,Precision_10
ARFre,0.921721804,0.934307238,0.945020887,0.900972962,0.968628739,0.053980003,0.989259844,0.975219824,0.932291667,0.981182796,0.937315867,0.939882805,0.979663668,0.998761354,0.985679214,0.970563847,0.982590234,0.974307507,0.920060332,0.972826087,0.719433323,0.50907922,0.995594215,0.994837172,0.999586777,0.984068627,0.993633277,0.995268817,0.984584178
CALMID,0.97096165,0.970975427,0.971387521,0.952207179,0.972241654,0.008879815,0.99918383,0.975779376,0.884259259,0.988852487,0.968234428,0.997920068,0.96018772,0.997853014,0.9700491,0.98486733,0.985732484,0.986511441,0.8140009,0.997461699,0.952894719,0.981676776,0.997677139,0.989164177,0.969947855,0.989581433,0.998786052,0.999182504,0.994577985
RAL,0.961308304,0.951303578,0.945325353,0.926531551,0.934874702,0.012497846,0.998703887,0.932294165,0.907349537,0.888466062,0.94553346,0.999211012,0.943918655,0.999834847,0.964279869,0.952860697,0.94433121,0.822440787,0.982166628,0.967276559,0.959767687,0.98935243,0.994493238,0.967631119,0.946121112,0.917925497,0.983707393,0.991406198,0.953383541
MicFoal ,0.982988517,0.980882106,0.979573231,0.97372759,0.977368374,0.005795512,0.999492271,0.957553957,0.952083333,0.985845094,0.977356902,0.9991714,0.990535784,0.998431049,0.985842881,0.981467662,0.966581741,0.958129265,0.935659977,0.985210118,0.979950683,0.987166812,0.998425402,0.992831418,0.992223891,0.987130398,0.998399881,0.99737745,0.974431753
