,AvF0.5,AvF1,AvF1.5,CBA,mGM,CEN,AvACC,Recall_0,Recall_1,Recall_2,Recall_3,Recall_4,Precision_0,Precision_1,Precision_2,Precision_3,Precision_4
ARFre,0.858205664,0.812640948,0.797118318,0.778632351,0.650131372,0.022155708,0.996683513,0.99655495,0.996211379,0.785929648,0.96757035,0.153846154,0.989604223,0.996840821,0.88261851,0.992432242,0.888888889
CALMID,0.809658367,0.784317294,0.772449657,0.746929564,0.641549588,0.041668569,0.993051448,0.991458652,0.993452653,0.677487437,0.91992965,0.207692308,0.987555183,0.978549113,0.892468651,0.98034172,0.350004195
RAL,0.789883076,0.768246472,0.759430363,0.747227173,0.352761098,0.027431322,0.99581734,0.993977102,0.995725826,0.744623116,0.965193892,0.042307692,0.989715243,0.994493242,0.893744506,0.976529032,0.38525641
MicFoal ,0.889441354,0.844244983,0.826579963,0.805109601,0.710303118,0.016407691,0.9976885,0.99769538,0.997354497,0.827236181,0.979615649,0.228846154,0.992510731,0.99811968,0.953871415,0.992111891,0.840379955
