,AvF0.5,AvF1,AvF1.5,CBA,mGM,CEN,AvACC,Recall_0,Recall_1,Recall_2,Recall_3,Recall_4,Recall_5,Recall_6,Recall_7,Recall_8,Recall_9,Recall_10,Precision_0,Precision_1,Precision_2,Precision_3,Precision_4,Precision_5,Precision_6,Precision_7,Precision_8,Precision_9,Precision_10
0,0.9629647909086058,0.9543443550622007,0.9491699514308197,0.9328447212111755,0.9402997293064053,0.012561768120314586,0.9986945731980441,0.9808153477218226,0.9265046296296297,0.8802083333333334,0.9437079124579124,0.999275845581807,0.9518967540086039,0.999587118084228,0.9365793780687398,0.945273631840796,0.9507430997876858,0.8410276997189884,0.9707278481012658,0.9738442822384428,0.9649138963072106,0.9909949726534446,0.9942421056034781,0.9415860735009671,0.9409249902837155,0.9263456090651558,0.9878682842287695,0.9907079646017699,0.9780578898225957
1,0.9527656504509946,0.9425134959885589,0.9363769340830913,0.916588560454116,0.9253237273149465,0.012728568968736488,0.9986547145053588,0.9360511590727418,0.9137731481481481,0.8776041666666666,0.946785563973064,0.9993980853233396,0.9620649198279233,1.0,0.9378068739770867,0.9407131011608624,0.9023354564755839,0.7828181453231634,0.9766472060050042,0.9807453416149068,0.9447458853318864,0.9926365140650855,0.9945704395387799,0.9447004608294931,0.9453551912568307,0.8977673325499412,0.9709028669234061,0.9953161592505855,0.9176470588235294
2,0.9664448343628382,0.9582289725834104,0.9532140621878576,0.9393843073265896,0.9446934869164023,0.012093198503799786,0.9987500815398392,0.935251798561151,0.9710648148148148,0.8813004032258065,0.9464962121212122,0.9992325201037955,0.9550254204145483,0.999587118084228,0.9439443535188216,0.9402985074626866,0.9656050955414013,0.8635086310718587,0.9774436090225563,0.9733178654292344,0.9705800721620872,0.9888424755413873,0.9944868369381925,0.9652173913043478,0.9603332011106703,0.9198564593301436,0.9826689774696707,0.994750656167979,0.9667415730337079
3,0.9696745493178782,0.961702021848268,0.9568118636221455,0.940545316030816,0.9487317509520966,0.01195678882885285,0.9987920097965204,0.9496402877697842,0.9265046296296297,0.9139784946236559,0.9386574074074074,0.9992572775198021,0.9444661712944857,1.0,0.9811783960720131,0.9614427860696517,0.9443736730360934,0.8831794460056203,0.9908256880733946,0.9846248462484625,0.9664238763545923,0.9903968914793227,0.9946416744959724,0.9813084112149533,0.9512961508248232,0.9378177551818537,0.9817950889077053,0.9902048085485308,0.9581881533101045
4,0.9576197616852454,0.946376427637065,0.9396429761938868,0.922960394345553,0.9277437667009973,0.012704140352949969,0.998675774913827,0.9304556354916067,0.9137731481481481,0.8833165322580645,0.9475747053872053,0.9992928663053116,0.9479859210011733,0.999587118084228,0.9484451718494271,0.9543946932006634,0.9163481953290871,0.7840224809313528,0.9667774086378738,0.9610468654899574,0.9553879701980738,0.9896972361118743,0.9944274467112081,0.946875,0.939100077579519,0.9422764227642276,0.9846022241231822,0.9890009165902841,0.9531478770131772
5,0.9631020962651157,0.9531111213405695,0.9470824166252257,0.9265490736896272,0.9369243378610568,0.012275047516891074,0.9987537082764099,0.9248601119104716,0.9155092592592593,0.8928091397849462,0.9504156144781145,0.9991040910082613,0.9401642549863121,0.999587118084228,0.9774959083469722,0.9535655058043118,0.9256900212314225,0.8390204737053393,0.9965546942291128,0.957047791893527,0.9675892206846322,0.9871857923497268,0.9947557834280292,0.9796251018744906,0.9420233463035019,0.9132262996941896,0.9913793103448276,0.9977116704805492,0.9448462929475587
6,0.9562466154504335,0.9446827790448609,0.937962206220346,0.9150514199872799,0.9255450880212425,0.012929382831995644,0.9986166753886496,0.876898481215028,0.8946759259259259,0.8844086021505376,0.9386574074074074,0.9993485704913264,0.9687133359405553,1.0,0.9889525368248773,0.9543946932006634,0.9460721868365181,0.758329987956644,0.9865107913669064,0.914792899408284,0.9569169241956008,0.9918007726729481,0.9939793339715157,0.9880335061826885,0.9509226541028661,0.8985130111524163,0.988831615120275,0.9928698752228164,0.9492462311557789
7,0.9619107330919995,0.9526608823110396,0.9470932956283079,0.9284340350769065,0.9372997806161697,0.012473120412925748,0.9987152255942946,0.9496402877697842,0.8946759259259259,0.8889448924731183,0.9512047558922558,0.9988797269257015,0.95267892061009,1.0,0.9791325695581015,0.9344941956882256,0.9575371549893843,0.8189482135688478,0.9793899422918384,0.9735516372795969,0.954106933549725,0.9838924713628819,0.9949293890453226,0.9794933655006032,0.9584487534626038,0.9112718964204113,0.9829917139119058,0.9925176056338029,0.9426987060998152
8,0.9624859341990046,0.9539549709086196,0.9487977260111315,0.9304656508573745,0.9401612915385361,0.012890770792395019,0.9986744230294261,0.9248601119104716,0.8831018518518519,0.8864247311827957,0.9438920454545454,0.9989184103882117,0.926867422761048,1.0,0.9713584288052373,0.9689054726368159,0.9554140127388535,0.8916097952629466,0.990582191780822,0.9695044472681067,0.9701204376206675,0.9843094225757784,0.9944575380870958,0.969721767594108,0.9347742184484755,0.9248149590962212,0.9806966009232061,0.9748700173310225,0.95980985306828
9,0.9598680783320698,0.9454607577708568,0.9371020953077195,0.9124920321342923,0.922024056534539,0.012365676049482183,0.998711685853288,0.9144684252597922,0.8339120370370371,0.8956653225806451,0.9479429713804713,0.9994027273388408,0.8893234258897145,1.0,0.9779050736497545,0.9751243781094527,0.9791932059447983,0.7619429947812124,0.9862068965517241,0.9842896174863388,0.9468916518650089,0.993767752254364,0.9944418355799506,0.9797501077121931,0.9380325329202169,0.9073652239939256,0.9853372434017595,0.9961123110151188,0.9634517766497462
std,0.004672971144421819,0.005974866538438218,0.006792822454013867,0.009279276302256197,0.008661059104531047,0.00031059495953035386,4.933565590402652e-05,0.025454455375193794,0.033533320553144716,0.010032299645065385,0.00411160768223342,0.00017634561452328882,0.021237083590324564,0.00020227000353285863,0.01912518460670453,0.012378312637530088,0.022143834229556295,0.046485222399590596,0.009034199905552612,0.01947757449475664,0.008982491514358275,0.003168277804467332,0.0002495199987890827,0.016370513057875586,0.00831649014089438,0.014393851237825998,0.005330612406286839,0.006106707578908903,0.015602342755961176
